4.370000,-1.200000,0.090000,301.625000,-14.000000,-9.250000,2,0,0,3,7958
4.390000,-0.440000,1.350000,301.875000,-14.062500,-8.625000,2,0,0,3,7979
3.620000,-0.470000,0.960000,302.312500,-14.062500,-8.375000,2,0,0,3,7999
0.900000,-0.560000,0.590000,303.000000,-14.000000,-8.312500,2,0,0,3,8019
1.170000,-0.930000,0.740000,304.125000,-13.875000,-8.187500,2,0,0,3,8044
5.470000,-0.320000,1.010000,303.250000,-14.500000,-8.437500,2,0,0,3,8079
5.860000,-0.250000,0.820000,302.750000,-14.812500,-8.687500,2,0,0,3,8097
3.750000,-0.350000,-0.200000,302.875000,-15.250000,-8.812500,2,0,0,3,8122
3.990000,-0.370000,0.550000,302.937500,-15.687500,-8.625000,1,0,0,3,8141
4.740000,-0.130000,1.120000,302.875000,-15.937500,-8.187500,1,0,0,3,8160
